Sample,Condition,Sex,Week,BodyWeight,IVSd,LVIDd,LVPWd,LVIDs,EF,FS,IVRT,A.durr,E.durr,Ea.Aa
EQ5-R4,Pers,F,8,28.6,0.5,3.7,0.5,2.1,80.99,42.5,48,8,8,1.31
EQ5-R5,Pers,F,8,28.1,0.4,4,0.5,2.1,85.72,47.73,48,8,4,1.11
EQ5-S1,Pers,F,8,27.2,0.6,3.8,0.5,2.4,76.28,38.1,56,20,12,1.25
EQ5-S2,Pers,F,8,32.8,0.4,4.3,0.4,2.7,73.99,36.17,44,8,0,1.14
EQ5-S3,Pers,F,8,30.7,0.5,4.4,0.5,2.3,85.87,47.92,48,8,0,1.13
EQ5-T1,Rapa,F,8,26.8,0.3,4.7,0.5,2.8,77.54,39.22,56,12,0,1.23
EQ5-T2,Rapa,F,8,29.1,0.4,3.6,0.7,1.8,86.51,48.72,48,4,0,1.27
EQ5-T3,Rapa,F,8,24.7,0.4,3.7,0.5,2,83.36,45,48,8,0,1.26
EQ5-A1,Control,F,12,30.9,0.5,3.7,0.7,2.1,82.35,43.9,48,12,0,0.88
EQ5-A2,Control,F,12,,,,,,,,,,,
EQ5-A3,Control,F,12,27.8,0.5,3.7,0.8,2.1,82.35,43.9,44,12,16,1.04
EQ5-B1,Rapa,F,12,33.4,0.7,4.1,0.7,2.6,75.91,37.78,44,12,4,1.14
EQ5-B2,Rapa,F,12,27.4,,,,,,,,,,
EQ5-B3,Rapa,F,12,29.1,0.5,3.3,0.4,1.8,82.85,44.44,48,12,8,1.09
EQ5-C1,Pers,F,12,31.5,0.4,4.2,0.5,2.3,83.95,45.65,48,12,0,1.13
EQ5-C2,Pers,F,12,33.3,0.4,3.9,0.5,1.9,88.35,51.16,48,12,0,1.14
EQ5-C3,Pers,F,12,29.8,0.5,3.9,0.5,2.2,82.61,44.19,44,8,0,1.19
EQ5-D1,Control,F,12,,,,,,,,,,,
EQ5-D2,Control,F,12,,,,,,,,,,,
EQ5-D3,Control,F,12,,,,,,,,,,,
EQ5-D4,Control,F,12,,,,,,,,,,,
EQ5-E1,Rapa,F,12,,,,,,,,,,,
EQ5-E2,Rapa,F,12,,,,,,,,,,,
EQ5-E3,Rapa,F,12,,,,,,,,,,,
