"","Control16","Rapa16","Pers16"
"Hspb1",-0.497585711416516,1.15118209813394,-0.653596386717421
"Hsp90b1",-0.409276058553048,1.13971547575968,-0.730439417206633
"Cryab",-0.43390369797348,1.14366414828124,-0.709760450307764
"Dnajc2",0.00332325612312397,0.99833423041814,-1.00165748654126
"Hsp90ab1",-0.18282627058875,1.07879903558208,-0.895972764993327
"Psmd2",-0.317409073050251,1.12018184268426,-0.802772769634014
"Usp4",1.10734116420138,-0.27021571876467,-0.837125445436714
"Psmb7",1.1226315610637,-0.327277784518893,-0.795353776544806
"Hspb6",1.12555922661925,-0.339536874280558,-0.786022352338697
"Psmd4",1.14378187081581,-0.709085228273205,-0.434696642542608
"Ube2l3",1.1521079674936,-0.509080679898735,-0.643027287594865
"Uchl3",1.15468414508909,-0.572013488313047,-0.582670656776041
"Psma5",1.10196543122011,-0.849737031556978,-0.252228399663127
"Hspb7",1.11073776065294,-0.828674973004207,-0.282062787648731
"Hspa9",1.11299916347686,-0.822816397908298,-0.290182765568564
"Usp12",1.11242170970073,-0.824331079450965,-0.288090630249767
"Hspe1",0.996313995558931,-1.00364568874104,0.0073316931821126
"Uchl1",1.00908558555748,-0.990659765085907,-0.0184258204715745
"Usp5",1.06693970454443,-0.915869839393008,-0.151069865151423
"Psme1",1.02815498510214,-0.969240095317613,-0.0589148897845277
"Dnajc6",1.04569962181011,-0.946977416360823,-0.0987222054492895
"Psmb1",0.892231936601331,-1.08089280190558,0.188660865304247
"Psma6",0.881665468023086,-1.08658771995569,0.204922251932603
"Psma2",0.965738286557963,-1.03105904778933,0.0653207612313692
"Skp1",0.938365947628284,-1.05193679083189,0.113570843203606
"Hspa5",0.930122429072756,-1.05764386716962,0.127521438096862
"Thop1",0.929039738240619,-1.05837496388447,0.129335225643853
"Dnajb8",0.559003505420822,-1.15450821594107,0.595504710520247
"Stub1",0.60394038241636,-1.15428586680325,0.550345484386893
"Hspa8",0.819836716334649,-1.11412061527264,0.294283898937986
"Dnajb5",0.772942948801369,-1.12938425422324,0.356441305421875
"B2m",0.789198416236221,-1.12458167013873,0.335383253902506
"Hspb2",0.78799885870597,-1.12495315498038,0.336954296274407
"Ttn",0.381143372103306,-1.13452470258706,0.753381330483752
"Cfl1",0.36270410915092,-1.13073832838806,0.768034219237143
"Arhgef6",0.354146253801577,-1.12887947442571,0.774733220624133
"Arpc1a",0.73419145238068,-1.13892613725119,0.40473468487051
"Ppp1cb",0.614044825429933,-1.15390594323852,0.539861117808589
"Pak7",0.661758019111313,-1.15036497228254,0.488606953171224
"Itga3",0.850925784313799,-1.10143920993176,0.250513425617961
"Flna",0.826943291681247,-1.11141404622732,0.284470754546067
"Mylpf",0.962273529645676,-1.03387742788956,0.0716038982438827
"Myl4",0.944102311261979,-1.04781423138554,0.103711920123563
"Cfl2",0.926526698700012,-1.06005578181463,0.133529083114618
"Myl6",1.02840539329137,-0.968940819400878,-0.0594645738904923
"Kng1",1.07050873392921,-0.910098718577324,-0.160410015351886
"Myl2",1.05624630311582,-0.932174893746487,-0.124071409369331
"Myl9",1.04512816350838,-0.947746797043989,-0.0973813664643867
"Myl1",1.09762961956842,-0.859309437249099,-0.238320182319323
"Myl3",1.09392270576697,-0.867117307623679,-0.226805398143289
"Irs1",1.11773877408567,-0.809857483730886,-0.307881290354789
"Kl",1.11287781916109,-0.823135778168174,-0.289742040992912
"Myl7",1.11277356604209,-0.823409709075114,-0.289363856966978
"Gsn",0.485676279676038,0.664404337959418,-1.15008061763546
