"","catnum","16Control","16Rapa","16Pers"
"Kng1",5,0.85218357008496,0.248695123661253,-1.10087869374621
"Myl9",5,0.97754295285891,0.0434947459507679,-1.02103769880968
"Myl1",5,1.02927289683394,-0.0613727526698965,-0.967900144164047
"Myh9",5,1.02403903914364,-0.0499502231104184,-0.974088816033218
"Myl7",5,1.02223385208849,-0.0460594417122143,-0.97617441037628
"Ppp1cb",5,1.15001242689069,-0.484986418412634,-0.66502600847806
"Myl6",5,1.1518743937612,-0.5060155568258,-0.645858836935397
"Myl4",5,1.12481350165951,-0.33636264039256,-0.788450861266957
"Cfl1",5,1.1334765696825,-0.375889786063821,-0.757586783618677
"Myl3",5,1.08771244707922,-0.208205773887453,-0.879506673191769
"Myl2",5,1.10829593899404,-0.27350569950371,-0.834790239490325
"Actn2",5,-1.13177248933855,0.764174606108657,0.367597883229893
"Vav1",5,-1.15456325266861,0.561861779043741,0.592701473624866
"Ttn",5,-1.15149552570138,0.501292805210058,0.650202720491327
"Ttn",5,-1.12798446313772,0.350127114754721,0.777857348383003
"Rac1",5,-1.14166042820652,0.420968277640101,0.720692150566414
"Myh13",5,0.669363114029398,-1.14952188872555,0.480158774696152
"Acta1",5,0.998667758553626,-1.0013269380128,0.00265917945916958
"Ttn",5,-0.822995275747527,-0.289935952762541,1.11293122851007
"Myh6",5,-0.458151661181294,-0.688841808153485,1.14699346933479
"Myh7",5,-0.137760846421694,-0.923977301689797,1.06173814811149
"Clip1",6,0.274893108714987,0.833802813254017,-1.108695921969
"Ctnnb1",6,-0.172200406824519,1.0749178129425,-0.902717406117983
"Myl6",6,1.1518743937612,-0.5060155568258,-0.645858836935397
"Clip1",6,1.14338690792431,-0.432051826606736,-0.711335081317571
"Myl3",6,1.08771244707922,-0.208205773887453,-0.879506673191769
"Myl4",6,1.12481350165951,-0.33636264039256,-0.788450861266957
"Myl2",6,1.10829593899404,-0.27350569950371,-0.834790239490325
"Clip1",6,0.850785964513419,0.250715316716338,-1.10150128122976
"Myl9",6,0.97754295285891,0.0434947459507679,-1.02103769880968
"Myl1",6,1.02927289683394,-0.0613727526698965,-0.967900144164047
"Myh9",6,1.02403903914364,-0.0499502231104184,-0.974088816033218
"Myl7",6,1.02223385208849,-0.0460594417122143,-0.97617441037628
"Actn2",6,-1.13177248933855,0.764174606108657,0.367597883229893
"Jup",6,-1.08362672077579,0.196393546949916,0.887233173825875
"Rac1",6,-1.14166042820652,0.420968277640101,0.720692150566414
"Sorbs1",6,-1.13008043203909,0.359641426242784,0.770439005796306
"Myh6",6,-0.458151661181294,-0.688841808153485,1.14699346933479
"Sorbs1",6,-0.299728307249787,-0.8158595161559,1.11558782340569
"Myh7",6,-0.137760846421694,-0.923977301689797,1.06173814811149
"Myh13",6,0.669363114029398,-1.14952188872555,0.480158774696152
"Acta1",6,0.998667758553626,-1.0013269380128,0.00265917945916958
"Gnb2",7,-1.15432295849164,0.602732568865493,0.551590389626143
"Rac1",7,-1.14166042820652,0.420968277640101,0.720692150566414
"Clip1",7,0.274893108714987,0.833802813254017,-1.108695921969
"Clip1",7,0.850785964513419,0.250715316716338,-1.10150128122976
"Myl9",7,0.97754295285891,0.0434947459507679,-1.02103769880968
"Map3k10",7,1.04722604565417,-0.102319530143353,-0.944906515510812
"Myl1",7,1.02927289683394,-0.0613727526698965,-0.967900144164047
"Myl7",7,1.02223385208849,-0.0460594417122143,-0.97617441037628
"Myl3",7,1.08771244707922,-0.208205773887453,-0.879506673191769
"Myl2",7,1.10829593899404,-0.27350569950371,-0.834790239490325
"Cdh13",7,1.10466681504623,-0.261157479943737,-0.843509335102495
"Myl6",7,1.1518743937612,-0.5060155568258,-0.645858836935397
"Myl4",7,1.12481350165951,-0.33636264039256,-0.788450861266957
"Clip1",7,1.14338690792431,-0.432051826606736,-0.711335081317571
"Cfl1",7,1.1334765696825,-0.375889786063821,-0.757586783618677
"Arhgef17",7,1.1375896850134,-0.397280174290457,-0.740309510722947
"Acta1",7,0.998667758553626,-1.0013269380128,0.00265917945916958
"Vim",7,1.14198621589361,-0.718981661665492,-0.423004554228114
"2-Sep",7,1.14840636032455,-0.67847265639856,-0.469933703925991
"Myl9",8,0.97754295285891,0.0434947459507679,-1.02103769880968
"Myl1",8,1.02927289683394,-0.0613727526698965,-0.967900144164047
"Myh9",8,1.02403903914364,-0.0499502231104184,-0.974088816033218
"Myl7",8,1.02223385208849,-0.0460594417122143,-0.97617441037628
"Myl3",8,1.08771244707922,-0.208205773887453,-0.879506673191769
"Myl4",8,1.12481350165951,-0.33636264039256,-0.788450861266957
"Myl2",8,1.10829593899404,-0.27350569950371,-0.834790239490325
"Sptan1",8,1.13839489737753,-0.401737623003312,-0.736657274374218
"Myl6",8,1.1518743937612,-0.5060155568258,-0.645858836935397
"Myh6",8,-0.458151661181294,-0.688841808153485,1.14699346933479
"Myh7",8,-0.137760846421694,-0.923977301689797,1.06173814811149
"Myh13",8,0.669363114029398,-1.14952188872555,0.480158774696152
"Acta1",8,0.998667758553626,-1.0013269380128,0.00265917945916958
"Ctnnb1",8,-0.172200406824519,1.0749178129425,-0.902717406117983
"Rac1",8,-1.14166042820652,0.420968277640101,0.720692150566414
"Ppp2r1a",8,-1.14197785050119,0.422951964583647,0.719025885917545
"Gnb2",9,-1.15432295849164,0.602732568865493,0.551590389626143
"Rac1",9,-1.14166042820652,0.420968277640101,0.720692150566414
"Acta1",9,0.998667758553626,-1.0013269380128,0.00265917945916958
"Arhgdib",9,0.97072004827826,-1.02691052123334,0.0561904729550836
"Myl3",9,1.08771244707922,-0.208205773887453,-0.879506673191769
"Myl2",9,1.10829593899404,-0.27350569950371,-0.834790239490325
"Cdh13",9,1.10466681504623,-0.261157479943737,-0.843509335102495
"Myl6",9,1.1518743937612,-0.5060155568258,-0.645858836935397
"Myl4",9,1.12481350165951,-0.33636264039256,-0.788450861266957
"Cfl1",9,1.1334765696825,-0.375889786063821,-0.757586783618677
"Arhgef17",9,1.1375896850134,-0.397280174290457,-0.740309510722947
"Arhgdia",9,0.755530588030919,0.378462282784174,-1.13399287081509
"Myl9",9,0.97754295285891,0.0434947459507679,-1.02103769880968
"Myl1",9,1.02927289683394,-0.0613727526698965,-0.967900144164047
"Myl7",9,1.02223385208849,-0.0460594417122143,-0.97617441037628
"Ppp1cb",10,1.15001242689069,-0.484986418412634,-0.66502600847806
"Myl6",10,1.1518743937612,-0.5060155568258,-0.645858836935397
"Myl3",10,1.08771244707922,-0.208205773887453,-0.879506673191769
"Myl4",10,1.12481350165951,-0.33636264039256,-0.788450861266957
"Myl2",10,1.10829593899404,-0.27350569950371,-0.834790239490325
"Nppa",10,0.767060047126848,0.363941824118025,-1.13100187124487
"Myl9",10,0.97754295285891,0.0434947459507679,-1.02103769880968
"Myl1",10,1.02927289683394,-0.0613727526698965,-0.967900144164047
"Myh9",10,1.02403903914364,-0.0499502231104184,-0.974088816033218
"Myl7",10,1.02223385208849,-0.0460594417122143,-0.97617441037628
"Myh6",10,-0.458151661181294,-0.688841808153485,1.14699346933479
"Myh7",10,-0.137760846421694,-0.923977301689797,1.06173814811149
"Myh13",10,0.669363114029398,-1.14952188872555,0.480158774696152
"Acta1",10,0.998667758553626,-1.0013269380128,0.00265917945916958
